================================================================================	
NTM copy task	
loss = 0.02428453183748	
iter = 6100	
loss = 0.056236906863578	
iter = 6150	
loss = 0.022607591165084	
iter = 6200	
loss = 0.057945046414144	
iter = 6250	
loss = 0.10538061550958	
iter = 6300	
loss = 0.25494685504425	
iter = 6350	
loss = 0.089565316408534	
iter = 6400	
loss = 0.27668592605648	
iter = 6450	
loss = 1.029961269088	
iter = 6500	
loss = 11.725944073003	
iter = 6550	
loss = 22.344848564094	
iter = 6600	
loss = 0.068753573460882	
iter = 6650	
loss = 0.26054490481602	
iter = 6700	
loss = 0.46241708165448	
iter = 6750	
loss = 0.75355330505525	
iter = 6800	
loss = 100.28883784998	
iter = 6850	
loss = 49.154262680857	
iter = 6900	
loss = 67.912669494979	
iter = 6950	
loss = 0.1618083798411	
iter = 7000	
loss = 0.065919436599934	
iter = 7050	
loss = 0.57045500815953	
iter = 7100	
loss = 0.1447755417576	
iter = 7150	
loss = 0.088065610179139	
iter = 7200	
loss = 0.18225484623149	
iter = 7250	
loss = 0.15972541869561	
iter = 7300	
loss = 0.051276056555696	
iter = 7350	
loss = 75.150825026491	
iter = 7400	
loss = 0.20557699891006	
iter = 7450	
loss = 0.072258780597759	
iter = 7500	
loss = 0.049742426566436	
iter = 7550	
loss = 0.011063858028926	
iter = 7600	
loss = 0.08758603137454	
iter = 7650	
loss = 0.036408169590187	
iter = 7700	
loss = 0.081468443217648	
iter = 7750	
loss = 0.065816626375262	
iter = 7800	
loss = 0.077862329197037	
iter = 7850	
loss = 0.14493053539591	
iter = 7900	
loss = 0.14431807227456	
iter = 7950	
loss = 0.11234067740467	
iter = 8000	
loss = 0.060235811321977	
iter = 8050	
loss = 0.047098424288077	
iter = 8100	
loss = 0.078814131967061	
iter = 8150	
loss = 0.11497943645934	
iter = 8200	
loss = 77.389898336768	
iter = 8250	
loss = 43.974205252671	
iter = 8300	
loss = 29.68501258064	
iter = 8350	
loss = 0.9902342629468	
iter = 8400	
loss = 0.15050918221131	
iter = 8450	
loss = 0.39765673090126	
iter = 8500	
loss = 0.13885758045146	
iter = 8550	
loss = 0.089623081063557	
iter = 8600	
loss = 0.069351029071463	
iter = 8650	
loss = 0.075240242604643	
iter = 8700	
loss = 0.062289462692071	
iter = 8750	
loss = 0.048329494646552	
iter = 8800	
loss = 0.050655876017821	
iter = 8850	
loss = 0.074810658783534	
iter = 8900	
loss = 0.041905906142	
iter = 8950	
loss = 0.018917790877595	
iter = 9000	
loss = 0.0071953675407848	
iter = 9050	
loss = 0.01012590284282	
iter = 9100	
loss = 0.032017117060231	
iter = 9150	
loss = 0.076827914206347	
iter = 9200	
loss = 0.0031056272568932	
iter = 9250	
loss = 0.027318456142872	
iter = 9300	
loss = 0.049383554990236	
iter = 9350	
loss = 0.035230441707487	
iter = 9400	
loss = 0.0096873089961491	
iter = 9450	
loss = 0.018658831202785	
iter = 9500	
loss = 0.015580076636702	
iter = 9550	
loss = 0.021017708930913	
iter = 9600	
loss = 0.0041348410504654	
iter = 9650	
loss = 0.055384691535789	
iter = 9700	
loss = 0.050225357990879	
iter = 9750	
loss = 0.012957396522445	
iter = 9800	
loss = 0.0085069400587656	
iter = 9850	
loss = 0.080050061132736	
iter = 9900	
loss = 0.021532413257658	
iter = 9950	
loss = 0.088336853533054	
iter = 10000	
loss = 0.007320185103751	
